Criterion,max_depth,min_samples_split,accuracy
entropy,18,6,0.765
entropy,18,7,0.765
entropy,18,8,0.77
entropy,18,9,0.7725
entropy,18,10,0.77
entropy,18,11,0.77
entropy,18,12,0.77
entropy,18,13,0.7725
entropy,18,14,0.77
entropy,18,15,0.77
entropy,18,16,0.7725
entropy,18,17,0.7675
entropy,18,18,0.7725
entropy,18,19,0.775
entropy,18,20,0.775
entropy,19,2,0.7625
entropy,19,3,0.7625
entropy,19,4,0.7675
entropy,19,5,0.765
entropy,19,6,0.7625
entropy,19,7,0.7625
entropy,19,8,0.7675
entropy,19,9,0.77
entropy,19,10,0.7675
entropy,19,11,0.7675
entropy,19,12,0.7675
entropy,19,13,0.77
entropy,19,14,0.7675
entropy,19,15,0.7675
entropy,19,16,0.77
entropy,19,17,0.765
entropy,19,18,0.77
entropy,19,19,0.7725
entropy,19,20,0.7725
entropy,20,2,0.755
entropy,20,3,0.755
entropy,20,4,0.76
entropy,20,5,0.7575
entropy,20,6,0.755
entropy,20,7,0.755
entropy,20,8,0.76
entropy,20,9,0.7625
entropy,20,10,0.7575
entropy,20,11,0.7575
entropy,20,12,0.7575
entropy,20,13,0.765
entropy,20,14,0.7625
entropy,20,15,0.7625
entropy,20,16,0.765
entropy,20,17,0.76
entropy,20,18,0.765
entropy,20,19,0.7675
entropy,20,20,0.7675
classification_error,1,2,0.8375
classification_error,1,3,0.8375
classification_error,1,4,0.8375
classification_error,1,5,0.8375
classification_error,1,6,0.8375
classification_error,1,7,0.8375
classification_error,1,8,0.8375
classification_error,1,9,0.8375
classification_error,1,10,0.8375
classification_error,1,11,0.8375
classification_error,1,12,0.8375
classification_error,1,13,0.8375
classification_error,1,14,0.8375
classification_error,1,15,0.8375
classification_error,1,16,0.8375
classification_error,1,17,0.8375
classification_error,1,18,0.8375
classification_error,1,19,0.8375
classification_error,1,20,0.8375
classification_error,2,2,0.8375
classification_error,2,3,0.8375
classification_error,2,4,0.8375
classification_error,2,5,0.8375
classification_error,2,6,0.8375
classification_error,2,7,0.8375
classification_error,2,8,0.8375
classification_error,2,9,0.8375
classification_error,2,10,0.8375
classification_error,2,11,0.8375
classification_error,2,12,0.8375
classification_error,2,13,0.8375
classification_error,2,14,0.8375
classification_error,2,15,0.8375
classification_error,2,16,0.8375
classification_error,2,17,0.8375
classification_error,2,18,0.8375
classification_error,2,19,0.8375
classification_error,2,20,0.8375
classification_error,3,2,0.835
classification_error,3,3,0.835
classification_error,3,4,0.835
classification_error,3,5,0.835
classification_error,3,6,0.835
classification_error,3,7,0.835
classification_error,3,8,0.835
classification_error,3,9,0.835
classification_error,3,10,0.835
classification_error,3,11,0.835
classification_error,3,12,0.835
classification_error,3,13,0.835
classification_error,3,14,0.835
classification_error,3,15,0.835
classification_error,3,16,0.835
classification_error,3,17,0.835
classification_error,3,18,0.835
classification_error,3,19,0.835
classification_error,3,20,0.835
classification_error,4,2,0.8325
classification_error,4,3,0.8325
classification_error,4,4,0.8325
classification_error,4,5,0.8325
classification_error,4,6,0.8325
classification_error,4,7,0.8325
classification_error,4,8,0.8325
classification_error,4,9,0.8325
classification_error,4,10,0.8325
classification_error,4,11,0.8325
classification_error,4,12,0.8325
classification_error,4,13,0.8325
classification_error,4,14,0.8325
classification_error,4,15,0.8325
classification_error,4,16,0.8325
classification_error,4,17,0.8325
classification_error,4,18,0.8325
classification_error,4,19,0.8325
classification_error,4,20,0.8325
classification_error,5,2,0.8325
classification_error,5,3,0.8325
classification_error,5,4,0.8325
classification_error,5,5,0.8325
classification_error,5,6,0.8325
classification_error,5,7,0.83
classification_error,5,8,0.83
classification_error,5,9,0.83
classification_error,5,10,0.83
classification_error,5,11,0.83
classification_error,5,12,0.83
classification_error,5,13,0.83
